text,label
allah ya sa muga karshen wannan masifa 🙏 lafiya,0
ai in ana haka zasu daina 😂 dama ai shashanci ke damunsu,1
ku duba matar nan da ɗanta abin tausayi zamu ji da matsalar rashin ingantaccen ilimi ne ko rashin abinci ko rashin ingantaccen kiwon lafiya ko rashin zaman lfya 😭😭😭,1
saboda sun san cewa za a tona aika aikan da sukayi 😂 da banma da kisan da akayi na rashin imani a zariya 😢,1
kayi dai dai muhammadu wallahi muna godiya sosai 🙏🏾🙏🏾 allah ya kara maka lfy,0
allah masani amma ai bkmai akwai allah 😭😭😭😭😭😭,0
allah ya kawo muna karshen wannan tashe tashen hankula najeriya 🙏,0
allah ka shirya masuyi mu kuma ya tsaremu🙏,0
dama taya mutum xeyi lafiyan kwakwalwa baya samu yana ci yana koshi😡😡😡,1
wallahi shiyasa banason jin labaru dole in kanaji sai kah koyi qarya in banda maganar banza ba shekara dari baba dari biyu baba shekara dubu shida hmmmmmm to a ina ta maqale kuma batada iyalai wanda sukaci wanna gum din haba bbbc a rinqa tantance labari kafin a yada😏😏😏😏,1
ahar kulun soyayyar baba buharin mu karuwa takeyi azuciyar talaka💞,0
allah ya kara basira ✊sarkin mu,0
ashe yasan inda coronar take😂😂😂,1
yabari kawai dan uwarshi 😎😎😎,1
allah ya yafe musu baki daya😭,0
insha allah za ayi lfy kuma za a gama lfy da yardar allah 🙏,0
abin kunya tirr😡,1
kun cika son tada zaune tsaye da neman yi wa farar saka ta zuma tonon silili 🏃‍♂️,1
allah ya jiqansu yasa alitace makoma mukuma allah kasa murabu dawanna duniya lafiya 😭😭😭,0
fatiii soyayyarki takusa kashenifa😭😭😭😭😭,0
da buharin da atikun da kwankwason dasu taran marokan mawakan daku bbc din duk kunci saa bana zagi dana sai na dura muku ashar yan rainin wayo kawai 😠,1
alhamdulillah ba shakka yanzu wata kila wannan zai sa su jajirce wurin farfado da tattalin arziqin qasa allah ya kare mana balai 🙏🏾,0
wanene mdd kuma to wane matsayi ya taka da zai nemi alfarma irin wannan🙄🙄to ba mdd ba wllh ko buhari ne yace yana son a yafe wa jahilin nan sai mun tsine masa bare wani mdd🙄🙄,1
yacemasa yajama yan kasar nigeria kunne saboda basajin mgm a kasar saudia arabia 😂,1
allah ya tabbatar wa alummar najeriya da alkhairi 🙏🙏🙏,0
karyane wlh babu wn shegen da ya isa wlh 🙅🏽‍♂️🙅🏽‍♂️🙅🏽‍♂️🙅🏽‍♂️🙅🏽‍♂️🙅🏽‍♂️🙅🏽‍♂️🙅🏽‍♂️🙅🏽‍♂️🙅🏽‍♂️🙅🏽‍♂️🙅🏽‍♂️ba wata doka wlh,1
hakan yayi daidai👍 a basu ladabi👌,0
allah humma ameeen 🙏🙏🙏🙏🙏🙏🙏,0
idan iskanci ba meye nayin wannan tunanin kibari muji da wanda suke damun muna ahakan🙄🙄,1
tabbbbb 🙊 don allah ku raba dani,0
muggan kaya ma😄😄😄,1
sai kayi kuma allah yayi 🙌,0
baka san ci gaban kano wallahi duk wata hanya ta ci baya ita kake kawo mana 🤨,1
allah ya kawo mana đauki 🙏,0
tsohu ka karbi bashi kaje ka mutu a ci uban ka a can 🤦‍♀️,1
ikon allah hausa baki iya ba fulatanci baki iya ba sai yaren aro🤔,1
zancen banza zancen yohfi🙄 bayan sun gama cutar damu🙄,1
kai jamaa 😄😄 bari inyi rubutu da manyan harufa wallahi rahama sadau tafara birgeni dayawa dayawa saboda kaf kannywood tana daya daga cikin masu kulawa da masoyanta itada hadiza gabon gaskia ina yinku allah kara daukaka fatan alkhairi 🙏,0
wannan dole fa ne to dan ancire to sai mai danmah ba kallaman larabci bane kawai an rubuta da larabci ne da ajami wai shi ahakan lauya mtsww😎😎,1
yawale mayen jirgi anfara sanaar kenan 🧐 to daga chan ayii chan,1
haka zalika idan aure kike so ina taya ki adduar allah 🙏 ya baki na gari wanda zaki soshi don allah shima ya soki don allah badan wani abun duniya ba,0
shakuwa da mutum akwai dadi wajen rabuwa ba dadi allah yamasa rahamaameen🙏💯,0
ai da kasheshi sukayi wlh da mun huta 🙅🏼‍♂️,1
wato ilimin keetahh yaqare a wajen ganduje 🤣🤣,1
sarki allah ya kara kiyayi mana kai kuma allah ya kara baku hakurin rashin mahaifin ku 🙏🙏,0
😠su zauna ayita kashesu karsu dawo arewa tunda su mayu ne basu san datajar ransu da mutuncin su ba daure su akayi ne ko dole ne sai sun zauna a kudu,1
wato abunda yan nigeria suka kasa ganewa shine da buba galidima da buhari duk bakinsu dayane kawai suna nunamana akwai matsala azahiri atsakaninsune🙄😂😢👊,1
allah ya jeqa sa muma e tamu taxo mu ceka da emani😭👐,0
goma da goma kinyi min dai dai✌✌,0
hahahaha kai akwai abin burgewa cikin wannan labari😂🤣😂,0
magana daga masu hankali🥰👌,0
saboda asamu jindadi duniya da lahira kudai kubari in allah ya hadama mutun mace ta gari to yasamu abinda yafi bilyanni wlh 😂😂😂,0
ai ba naira ba ma har darajar yan kasar nigeria ma faduwa suke a idon duniya😪😩🤕,1
amma anyi wawan soje anan dan haka akwai yiwuwar nanda shekara ahirin ire irenku wawayen soje kuxama tarihi 💀,1
ita dai fati baiwar allah 👍,0
mashaallah allah yakara jagoranci 💐,0
gaskiyan kine allah yayimana mekeu duniya da lahira🙌,0
hhh 😂gaskia wannan cin fuskane baban su abokinane fa,1
an wanki ganduje kuma ya wanku 🤣🤣,1
ai martanin bashida amfani fache baza a dauki kwakkwaran mataki akan harkar tsaro bahaba kullum ana kashe alumma ba gaira ba dalili😠😠😠,1
allah yasa karsu kullamah tsiya 🤷,0
kuma sekun taba mutanan duk da sunje adawar ma batayi musu dadi ba😂😂😂😂😂😃😃😃😆😆😆,1
gaskiya ne malam 😂 allah ya kara daukaka,0
masha allah 👏🏽 allah yakara masa daukaka da lfy,0
allah ysanya alkhairi allah kma ybada ikon yi 🤲🤲,0
allah ubangiji ya ji qansu gabadaya ya kuma yi musu rahma 😖😭😭 sun manta da zaa je lahira dukkan rai zai dan dani mutuwa 😭😭😭😭😭😭😭😭😭😭😭😭😭,0
ai muddun kanaso kaga shugaba buhari ya ɗauki matakin gaggawa ayi batu akan wani abu da zai nemi taɓa lafiyarsa ya rabashi da fadar gwamnati villa koda na kwana ɗaya ne kuwa wallahi da ace buhari na son alummar najeriya kwatan kwacin yadda yakeson fadar gwamɓati da an huta🚶,1
allah yasa ba da uwar wani ba🙏,0
wallahi bbc basu taba saka abunda ke sani dariya kamar wannan ba😂😂 har ciki yasin 😂🤣🤦🏽‍♂️ wallahi mu talakkawa mun gode kudin a karawa su burutai zamu fi ganin damar ka allah ko kabasu basu bamu,0
allah yasa ya huta da rahama 👐,0
yanzu duk wannan a n9b kacal👌 anya ba a aljihunka za ka cika ba🤔 ina adduar allah ya cigaba da ba ka ikon farantawa alumma da kudinka allah kuma ya qara baka ikon farantawa gwaggon kanawa,0
to ya dena yin katsalandan akan zabin kanawa shi da aka zabeshi wa ya nemi ya hanashi to ya isheshi haka 👉👉,1
allah sarki😭 allah ya baki lafiya dan allah a kafa asusu a taimaki baiwar allah nan zamu bada insha allah,0
allah ya bashi ikon yin hakan gsky muna goyon bayan shi 👍👍,0
na buge shi da guduman nan pbam😂😂😂,1
ya allah ka kawo ma wadannan bayin allah dauki😥,0
fata nagari lamiri kunsan ba a jima da kafa iswap ba kuke mana fatan a sake samar da wata sabuwar kungiyar 😨 allah ya kare mu,0
ji shugaban kasar kaman jaki😁😂🤣🤔 daji dai ya kare a africa,1
zaa jefa ubanku 😠,1
baba buhari shugabane wanda babu irinshi a nigeria mu talakkawa bazamu gane buhari nasan muba sai ya sauka da ga mulki allah yaqara ma baba buhari lapiya da kuma hazaqa shi shugaba fatan alheri ake masa sai allah yamuna yanda mukeso🙌,0
😂😂😂 ana hege a kasar nan,1
zancan banxa zancan isaka😠😠😠mudai kawai allah ya isa zamuce,1
kaiiiiiiiiii jamaa wannnan yarinyan 🤣🤣🤣 toh allah kabamu kudi masu albarka,0
nidai duka komai yamin cikin film in sannan babu wayanda nakeso acikin shirin kamar lukman laila💘💘💘💘💘💘💘kai i really like laila wllhi,0
allah ya basu lfy allah yasa kuma kaffara ne🙏🙏 ya zuljalalu wal ikhram ya wahidun kaahar😭😭😭,0
allah ya jikan wayanda suka rigamu gidan gaskiya 😭,0
allah shi kawo muna sauki🙏,0
saboda meh waii mehysa akehso takarfi t yaji seh anmaida mutane jahilaiii neh 💔💔💔💔,1
wannan mutun baya tausayin talakawa ko kadan ya allah duk wanda baya tausayin na kasa dashi allah kada ka tausaya mai ranar tausayi ana sace mutane daga kaduna zuwa zaria ya kasa yin komai amma dake zakince ne da bukatar shi ta kai dakai ai har ya fara magana allah ya isa 😭,1
qaryan banzace duk sune munapikan🙄🙄,1
allah y jikansa tun muna yan samari y rasu😎,0
banda abin ku bbc ai baa san maci tuwo ba sai miya ta kare jamu muje dai real madrid💪🏼,0
mtseww ba sunsan hanyan naijan ba suzo su sakeshi mna toh dan malafar kan jonatan din ubansu😡😡,1
hhmm shureshure ba ya hana mutuwa😎,1
babban directa 👍🏽 muna nan mun ziba ido allah ya bada saa,0
allah ya jaddda rahama a kabarinsa allah yasa ya hutaameeen 🙏,0
an samu matsala 😂😂,1
nidai abinda yake burgeni dake rahama tunda kikaje india 🇮🇳 bakiyi wasaba sanda kika samu wata ta tsanmiki gashii,0
ai indae har akwai wani magani na so to bae wuce hakuri bah👌,0
koma ubanwa xe nada yaje yayi ta nadawa yanxu dai kano munsan babu wani sauran me daraja😞😕😕,1
tsuntsun dayaja ruwa naga sai lallaba rahama sadau akeyi wassu ma har goya mata baya suke wai ana mata hassada ne idan kai magana akanta toh karki daina iskancin da kike yi dan buhun ubankiyau ina maryam hiyana anqi ai miki waazi ko nasiha dan ubanki😡,1
gaskiya da ansha bulalai a kano😂,1
alheri insha allah😂😂,0
ina ruwanku da wani bakinku kamar buda bakin 🙄🙄,1
nanufin= shuwagabannin nigeria su sachi kudin alumma sukai kasan wajebarasu anfanan da yan najeriya da sheba😱🙄,1
munsha ruwa lfy a unguwar kawo lambu dake karamar hukumar nassarawa lag agarin,0
wadandama ba yan nigeria bama kayaudaresu bahari 😭,1
kai jamaa shidai wannan yaga ta kansa gwamnati ba sauki yasin 😂,1
boko haram kuma sun kashe sojoji dubu 🤷🏻‍♂️ ku dage dan allah 11 sunyi kadan,1
dakyau wannan abu yayi kyau 🤣,0
mun de ji ance yakasa cin aminci😔,1
innanillahi wa inna ilaihi rajiun allah ya jikansa ya yi masa rahama yasa idan tamu tazo mu cika da imani allah ya yafe masa 🙏🙏🙏,0
wasikar masoya dauke take da sunkisunki na na kalaman soyayya masu matukar tasiri a zukatan masoya munyi tanadin su ne saboda ku a nan 👇👇👇👇👇👇👇👇,0
ina tayaku farin ciki 💃💃,0
adilin sugababa wasummu basusan yadda buhari yakeba ahakaman ma jisuke yayyi daidai abinda kefaruwa sakamakon banrin hanyar allah adauki cewa buhari yafi kowa zama na kwarai idan ka fadi gaskiya ace wwi bakasonai inkayi ahuru kuma takaicin ya halakaka 😭,1
yaji tsoron allah akan halin da talakan nigeria 🇳🇬 yake ciki,0
ameen ameen ameen yarinyar kirki 👏👏👏,0
hegu toh wai gani suke allah bai karbi adduar su bane ko meye 💔🧐😂😂,1
su karbe wayoyinsa su bashi vivo 😡😡😡😡,1
abun mamaki da yawa yake to wai ita arewa ba a najeriya take bane wani abun kamar da asiri a ciki allah ya kyauta ya iya mana🤲,0
gaskiya ba karya haji aminu guy din yayi sossai 👍,0
😢😢😢😢😢😢 mu yau aka mana low down wlh ba shiga ba fita anan daura wlh abin sai aduua gaskiya ya kamata arage ba ci atashi tsaye akan wannan cucar ko wlh sai ji tausa yimmu ya bamu maganinta,1
ubangiji allah ya hayyu ya qayyum 🤲 allah kasa ta sama itace silar ajalinsa allah ya jarabce shi da balain da bazai iya fidda kansa ba ya allah ka quntata masa ya allah ka hana shi jindadin duniya da lahira,1
hahaha wai dari bisa miliyanjahilci bai yi ba wlhy 😂 in ba tsoro ba ya fadi waye tsula mana a tsula masa bulala a cikin birnin kano kuwa,1
😹😹wai ta tsiya ce,1
kina ruwa corona virus😂,1
innalillahi wainna ilaihi rajiun 😭 ubangiji allah ya yay muna maganin wadannan matsaloli 🤲,0
nabi kunya da gudu b takalmin 🏃‍♂️,1
mun yarda da allah 💯,0
kai dallah chan munafikin banza dan iska kawai😏,1
karya ne wlh 🌚 a daura wutar awa sha biyu ake bamu wlh 🙆🏻‍♂️ kuji tsoran allah kudaena karya wlh🙄,1
masha allah rahama sadau babar yarina 🤔🤔,0
allah ya karemu ameen🙏🙏🙏,0
gsky sosaiii mahhh😠😠,0
mufah yanxu a kasan nan mun riga mun fahimta boko haram nan akwai masu gidajin su a cikin manyan jamian gonnatin kasan nan idan bahaka bah kowa ni abun amfani na yau da kullun a ce suna dashi bayan su yan taadda ne tayaya suke samu 1 fetur 2 kayanabincin 3 magani hmm🤔,1
kidan ma zai dadi😂,0
gaba salamun baya salamun dattijon arziki jagoran talakawan 🇳🇬 uban talkawan nigeria 🇳🇬 kaci jiya kaci yau zakaci gobe da yaddar allah ubangiji allah yadawo mana dakai lafiya,0
shirin zuwan zaben atikuallah ya bashi nasara ameen☂👍💓💓💓,0
kaji wani wawan to duk talakan daya shiga wani hali na shiga wani kullen akwai kamasonka a wajen ubangiji wlh sai kayi bayani dalla~dalla 😕😕,1
wato mallam aminu so sone amma son kai yafi ka gwammace kabawa na gida kenan akan kabawa bare ba komai mungano ka 🤣🤣 🤣🤣 wato abun harda qabilanci 🏃🏃,1
to suriqa 33k dinsu ta vanxa da wopi vamuso allah ya isa tsakaninmu dasu shine vatu kawai 🤗💯,1
masha allah allah ya taya shi riko🙏 an ajiye kwarya a gurbin ta,0
anty sadiya kiji tsoron allah daii 😂😂😂,0
insha allah alfarmar wannan watan mai albarka sae ubangiji yatauna asirinsu 🙏🤲🕌📿,0
😂😂😂 allah yayi mana muwafaka aameen,0
mganan banza a kasannan mun dauki tsananin yarda mun bawa gomnati amma karshe dame suka saka mana an wawushe mana dukiyan kasa ba ruwa ba titi ba kiwon lapiya mai inganci kai abin takai takawo ranmuma bamu tsira dashi ba mun yanke kauna akan kasarnan wlhy☹️😡😠😤,1
allah ya jikanshi da rahama ga ramadan ga kuma jumaa allah ya sadashi da annabi 😥😥,0
allah ya kara daukaka jagora muna bayanka💯,0
allah yajikan musulmin dasu ka rasa rayukansu aciki😭🙏,0
allah ya wadaran wannan aiki akwai mugan masu bada shawara a wannan gobnati wadda kasuwancine tsakani kano da maradi ya wuce tsakanin kano da kudancin nigeria 😢,1
allah ya bada zaman lafiya bbc kutambaya mun wanda yace zai kashe kansa shin ya fasa ne 🤔🤔,0
idan har shugaba buhari dake matsayin dan arewa kuma bakatsine ya kasa tsare rayukan katsinawa da dukiyoyinsu yaya rayuwarmu zata kasance idan ya sauka daga mulki lokacin wani ne sama ba dan arewa ba 😭😭😭,1
matsala guda daya ce kada ya koya musu saka da dala aljihun babbar riga😀😀😀🤣,1
allah sarki duniya wallahi babu abinda zancee kawai saidee allah yasakawa gumnatin bauchi 😭😭😭😭😭😭😭😭,0
allah jiqanshi da rahama ya kuma gafarta mishi🙏🙏🙏,0
wai dan allah dagaske kuke😂,0
allah fa dakanshi yace ya tsinewa mai karin gashi da wacce ake karamawa😭😭😭 amman ynzu ammata shikukasa a gabaallah yashiryamu baki daya yasa mu daceamin,1
wlh wasu mutane akwaye raiyenin hankali garesu tayaya zaa cewa bisa kuskure bayan yasan banashi bane wannan bawai kuskure bane daganganci ne tonda yasani ya aikata 😡😡😡😡,1
kaiiii jamaadon allah 🙏 kubar mu muji da abinda yadame mu basai kun karo mana wata jarabar ba,1
ka ga masuyi dan allah🤗,0
bbchausa kuna burgeni 😂 😂,0
wannan mutumi da a ce allah ne shi da halittu sun shiga uku kai da sun shiga tara 🙄🙄🙄🙄🙄🙄🙄,1
idan kaga dan uwanka yaje kaima zaka je ko bajima ko badade in sha allah 😭😭😭,0
allah ya tsayar chan 😂,0
karya yakeyi bazai iyaba yasauka kawai😭😭,1
taska maaruf zaka fara yankan kai koh🤔🤔🤔,1
in zaku sha ku taho katsina kusha abunku muga ubanda zai hana ku 💯,1
allah ya shiryaki ameen👏,0
gsky mulkin da ake yi a kasar nan wlh ko yahudawa basa yi ana matsa mana abun yayi yawa allah ka bamu shuwagabanni na gari masu sammu ba wanda mu muke san su ba ya allah 🙏,1
ku jakai ne 🙄 gaskiya ku bbc hausa yan isakan mutane ne yanzu sai ku rasa wanda zaku dora hoton sa sai baban mu mtwsss,1
ya yi amai ya lashe🐕 chan da su gada allah ya raka taki gona,1
masha allah muma saudia ne suka jaza mana barka da sallah jamaar kasar niger 🇳🇪,0
a kaishi wuta ma mana ina ruwan mu 🤣🤣,1
allah y ci gaba d tona musu asiri👏,1
tafiya samun damar yin garkuwa da mutane 😭,1
idan anki kuma fa🤔,1
allah y rahamsheshi ya saka mana dan ni wallahi billahi bazan yapeba😭😭😭,1
alhamdulillah yakara tattalin arzikin 🙏,0
hmmmm qaryan banxa kawae sbd sunji nigeria ta para qera motae ampani d wutan lantarki koh 😳,1
yalla bai kar ka hakura wlh wannan ai cin fuska ne😂,1
ana iya hege a kasarmu😂,1
allah ya baka ikon adalci da rige gaskiya✊,0
allah ya karama sarki lafia ✊🏾,0
allah ya kara lfy da nasara mai girma gwamna 😘,0
kauye garin su kare kare yace aa garinsu yaya jaki ne yaya jaki yace kaya na kawo ina saukewa zan koma 😂😂😂,1
subhanallah 🙆🏼‍♀️allah jikan musulmai,0
kai allah ya wadanran naka ya lalace😓,1
𝕂𝕦𝕗𝕒 𝕓𝕒 𝕜𝕦 𝕘𝕒𝕟𝕖𝕓𝕒 𝕟𝕖 𝕤𝕦𝕗𝕒 𝕜𝕒𝕟𝕒𝕨𝕒 𝕜𝕒𝕞𝕒𝕟 𝕥𝕦𝕣𝕒𝕨𝕒 𝕤𝕦𝕜𝕖 𝕕𝕒𝕘𝕒 𝕤𝕦𝕟𝕔𝕚 𝕤𝕦𝕟 𝕜𝕠𝕤𝕙𝕚 𝕥𝕠𝕙 𝕤𝕖 𝕙𝕒𝕦𝕜𝕒 𝕪𝕒 𝕥𝕒𝕤𝕙𝕚 𝕪𝕒 𝕥𝕤𝕒𝕪𝕒 𝕒𝕗𝕒𝕣𝕒 𝕟𝕖𝕞𝕒𝕟 𝕒𝕓𝕦𝕟𝕪𝕚 𝕄𝕦𝕟𝕒 𝕥𝕒𝕦𝕤𝕒𝕪𝕒 𝕞𝕦𝕜𝕦 𝕕𝕒 𝕛𝕒𝕣𝕒𝕓𝕒𝕨𝕒 😭,1
na biya 10000 nazo na kallah wannan allah ya sawwake ko yawale bai isa na biya ko 500 ba na kalleshi😂😂😂,1
kokefa sak musulma kawaii wlh💯,0
subahanallahi 😳 wa zai ga gudu tapdijam allah ya tsare mu ameen,0
fatana allah yasa ba ahalimu kija zageba gabadaya 😂😂,0
wasan ya fara dadi 🤣🤣🤣🤣🤣🤣,0
kan bura uba 😱😨😲😲😲 mu uban me ake a kasar tamu da za akwashe kudin mu a sace da sunan tallafi wallahi allah saiya saka mana dunia da lahira,1
tir da wannan lamarin gsky jamaa aji tsoran allah wllh duniya alamun kashen ta sun fara bayya na ra ayil ai allah kasa mu dace amen 😭,0
masoyiyata ta gaskiya jamila 😁,0
hmm ai shine zaa ba hakuri wannan matsalar shi ce shawara ya rage wa mai shiga rijiya idan yaso ya fada ta kai 😂😂😆,1
masha allah ubangiji allah ya basu zaman lafiya da zuria dayyibaamin 🙏,0
